Date,Close,High,Low,Open,Volume,agro_soja_close_lag_1d,agro_soja_close_lag_3d,agro_soja_close_lag_6d,agro_soja_close_lag_10d,agro_cambio_close_lag_1d,agro_cambio_close_lag_3d,agro_cambio_close_lag_6d,agro_cambio_close_lag_10d,target_3d,target_7d,target_15d,target_30d,Open_lag2d,Open_lag4d,Open_lag6d,High_lag2d,High_lag4d,High_lag6d,Low_lag2d,Low_lag4d,Low_lag6d,Close_lag2d,Close_lag4d,Close_lag6d
2022-01-18,12.55318832397461,12.797378136241766,12.517012023545734,12.643628643791285,295400,1356.75,1391.25,1401.5,1344.0,5.5333,5.5332,5.6322,5.6812,1,0,1,1,12.942083835973104,12.933039739637552,12.833553859337762,13.00539214431289,13.02348005826475,12.869730158139204,12.661716868662166,12.67980563996596,12.553187759254335,12.725025177001951,12.8335542678833,12.770245552062988
2022-01-19,12.761202812194824,13.11392241524684,12.625541890834644,12.661718194031431,336500,1361.25,1365.25,1374.75,1378.75,5.5158,5.5267,5.6622,5.6762,0,0,1,1,12.743113949256102,12.860687139731384,12.61649732590338,12.896863439684468,13.122965530019002,12.97826121253994,12.589364458827738,12.715981939919049,12.471792116253187,12.8335542678833,12.8335542678833,12.933040618896484
2022-01-20,12.842599868774414,13.340024690762704,12.7431152493812,12.7431152493812,1343800,1391.25,1356.75,1376.75,1384.25,5.5657,5.5333,5.5673,5.7056,1,0,1,1,12.643628643791285,12.942083835973104,12.933039739637552,12.797378136241766,13.00539214431289,13.02348005826475,12.517012023545734,12.661716868662166,12.67980563996596,12.55318832397461,12.725025177001951,12.8335542678833
2022-01-21,12.761202812194824,13.24958333660702,12.761202812194824,12.933040899262895,321000,1425.75,1361.25,1391.25,1377.25,5.4372,5.5158,5.5332,5.6824,0,1,0,1,12.661718194031431,12.743113949256102,12.860687139731384,13.11392241524684,12.896863439684468,13.122965530019002,12.625541890834644,12.589364458827738,12.715981939919049,12.761202812194824,12.8335542678833,12.8335542678833
2022-01-24,12.6345853805542,12.95112779781263,12.544144197045478,12.761202002453151,266400,1414.25,1391.25,1365.25,1401.5,5.4181,5.5657,5.5267,5.6322,0,1,1,1,12.7431152493812,12.643628643791285,12.942083835973104,13.340024690762704,12.797378136241766,13.00539214431289,12.7431152493812,12.517012023545734,12.661716868662166,12.842599868774414,12.55318832397461,12.725025177001951
2022-01-25,12.923995971679688,12.933040262661477,12.517012365120944,12.52605665610273,451900,1403.0,1425.75,1356.75,1374.75,5.4571,5.4372,5.5333,5.6622,0,0,0,1,12.933040899262895,12.661718194031431,12.743113949256102,13.24958333660702,13.11392241524684,12.896863439684468,12.761202812194824,12.625541890834644,12.589364458827738,12.761202812194824,12.761202812194824,12.8335542678833
2022-01-26,12.028631210327148,13.195317945660856,11.902013731003974,12.978260148973426,1673500,1407.25,1414.25,1361.25,1376.75,5.4861,5.4181,5.5158,5.5673,1,1,1,1,12.761202002453151,12.7431152493812,12.643628643791285,12.95112779781263,13.340024690762704,12.797378136241766,12.544144197045478,12.7431152493812,12.517012023545734,12.6345853805542,12.842599868774414,12.55318832397461
2022-01-27,12.390395164489746,12.462747768989544,12.10098474649056,12.209513653240254,544600,1440.0,1403.0,1391.25,1391.25,5.4407,5.4571,5.5657,5.5332,1,1,1,1,12.52605665610273,12.933040899262895,12.661718194031431,12.933040262661477,13.24958333660702,13.11392241524684,12.517012365120944,12.761202812194824,12.625541890834644,12.923995971679688,12.761202812194824,12.761202812194824
2022-01-28,12.598408699035645,12.6436284269128,12.16429223882457,12.408482909414117,511300,1448.25,1407.25,1425.75,1365.25,5.4292,5.4861,5.4372,5.5267,1,1,1,1,12.978260148973426,12.761202002453151,12.7431152493812,13.195317945660856,12.95112779781263,13.340024690762704,11.902013731003974,12.544144197045478,12.7431152493812,12.028631210327148,12.6345853805542,12.842599868774414
2022-01-31,12.752157211303713,12.869729529784772,12.507966559433145,12.616495450538634,302200,1470.0,1440.0,1414.25,1356.75,5.4035,5.4407,5.4181,5.5333,0,1,0,0,12.209513653240254,12.52605665610273,12.933040899262895,12.462747768989544,12.933040262661477,13.24958333660702,12.10098474649056,12.517012365120944,12.761202812194824,12.390395164489746,12.923995971679688,12.761202812194824
2022-02-01,12.842599868774414,12.905909047034744,12.679806933631983,12.761202969947645,152700,1490.5,1448.25,1403.0,1361.25,5.3626,5.4292,5.4571,5.5158,0,1,0,0,12.408482909414117,12.978260148973426,12.761202002453151,12.6436284269128,13.195317945660856,12.95112779781263,12.16429223882457,11.902013731003974,12.544144197045478,12.598408699035645,12.028631210327148,12.6345853805542
2022-02-02,12.761202812194824,12.978261493886658,12.607453307980697,12.914952316408952,215700,1528.5,1470.0,1407.25,1391.25,5.3031,5.4035,5.4861,5.5657,1,0,1,0,12.616495450538634,12.209513653240254,12.52605665610273,12.869729529784772,12.462747768989544,12.933040262661477,12.507966559433145,12.10098474649056,12.517012365120944,12.752157211303713,12.390395164489746,12.923995971679688
2022-02-03,12.544143676757812,12.933039542199795,12.544143676757812,12.74311375471778,221100,1545.25,1490.5,1440.0,1425.75,5.2645,5.3626,5.4407,5.4372,1,1,1,1,12.761202969947645,12.408482909414117,12.978260148973426,12.905909047034744,12.6436284269128,13.195317945660856,12.679806933631983,12.16429223882457,11.902013731003974,12.842599868774414,12.598408699035645,12.028631210327148
2022-02-04,12.345174789428713,12.69789438948794,12.227602451920063,12.54414488657836,361800,1544.25,1528.5,1448.25,1414.25,5.2609,5.3031,5.4292,5.4181,1,1,1,1,12.914952316408952,12.616495450538634,12.209513653240254,12.978261493886658,12.869729529784772,12.462747768989544,12.607453307980697,12.507966559433145,12.10098474649056,12.761202812194824,12.752157211303713,12.390395164489746
2022-02-07,12.842599868774414,12.842599868774414,12.182382111643696,12.489881123873223,450100,1553.5,1545.25,1470.0,1403.0,5.2829,5.2645,5.4035,5.4571,1,0,1,0,12.74311375471778,12.761202969947645,12.408482909414117,12.933039542199795,12.905909047034744,12.6436284269128,12.544143676757812,12.679806933631983,12.16429223882457,12.544143676757812,12.842599868774414,12.598408699035645
2022-02-08,12.661717414855955,13.077745307273094,12.589364812914804,12.779290608638089,161400,1581.75,1544.25,1490.5,1407.25,5.3269,5.2609,5.3626,5.4861,0,1,1,1,12.54414488657836,12.914952316408952,12.616495450538634,12.69789438948794,12.978261493886658,12.869729529784772,12.227602451920063,12.607453307980697,12.507966559433145,12.345174789428713,12.761202812194824,12.752157211303713
2022-02-09,12.933040618896484,12.933040618896484,12.571276732259925,12.661717919546836,119000,1569.0,1553.5,1528.5,1440.0,5.2626,5.2829,5.3031,5.4407,0,1,1,0,12.489881123873223,12.74311375471778,12.761202969947645,12.842599868774414,12.933039542199795,12.905909047034744,12.182382111643696,12.544143676757812,12.679806933631983,12.842599868774414,12.544143676757812,12.842599868774414
2022-02-10,12.91495132446289,12.933039905927526,12.697893521953509,12.933039905927526,129600,1594.75,1581.75,1545.25,1448.25,5.2584,5.3269,5.2645,5.4292,0,0,1,0,12.779290608638089,12.54414488657836,12.914952316408952,13.077745307273094,12.69789438948794,12.978261493886658,12.589364812914804,12.227602451920063,12.607453307980697,12.661717414855955,12.345174789428713,12.761202812194824
2022-02-11,12.607451438903809,12.905906974169634,12.580319431156362,12.788333790582728,397900,1574.25,1569.0,1544.25,1470.0,5.2345,5.2626,5.2609,5.4035,1,1,1,0,12.661717919546836,12.489881123873223,12.74311375471778,12.933040618896484,12.842599868774414,12.933039542199795,12.571276732259925,12.182382111643696,12.544143676757812,12.933040618896484,12.842599868774414,12.544143676757812
2022-02-14,12.670761108398438,12.93303949369848,12.571275638536036,12.679805398842475,300400,1583.0,1594.75,1553.5,1490.5,5.2487,5.2584,5.2829,5.3626,1,1,1,0,12.933039905927526,12.779290608638089,12.54414488657836,12.933039905927526,13.077745307273094,12.69789438948794,12.697893521953509,12.589364812914804,12.227602451920063,12.91495132446289,12.661717414855955,12.345174789428713
2022-02-15,12.761202812194824,12.933040899262895,12.688850205801248,12.688850205801248,122000,1570.0,1574.25,1581.75,1528.5,5.25,5.2345,5.3269,5.3031,1,1,1,0,12.788333790582728,12.661717919546836,12.489881123873223,12.905906974169634,12.933040618896484,12.842599868774414,12.580319431156362,12.571276732259925,12.182382111643696,12.607451438903809,12.933040618896484,12.842599868774414
2022-02-16,12.770245552062988,12.905907319451645,12.725024962933436,12.905907319451645,107500,1551.25,1583.0,1569.0,1545.25,5.214,5.2487,5.2626,5.2645,0,1,0,0,12.679805398842475,12.933039905927526,12.779290608638089,12.93303949369848,12.933039905927526,13.077745307273094,12.571275638536036,12.697893521953509,12.589364812914804,12.670761108398438,12.91495132446289,12.661717414855955
2022-02-17,12.842599868774414,13.086790565254727,12.761202969947645,12.77024726148642,1461300,1587.5,1570.0,1594.75,1544.25,5.1579,5.25,5.2584,5.2609,0,1,0,0,12.688850205801248,12.788333790582728,12.661717919546836,12.933040899262895,12.905906974169634,12.933040618896484,12.688850205801248,12.580319431156362,12.571276732259925,12.761202812194824,12.607451438903809,12.933040618896484
2022-02-18,13.023480415344238,13.023480415344238,12.535099921331604,12.842598910619383,319000,1592.0,1551.25,1574.25,1553.5,5.1358,5.214,5.2345,5.2829,1,1,0,0,12.905907319451645,12.679805398842475,12.933039905927526,12.905907319451645,12.93303949369848,12.933039905927526,12.725024962933436,12.571275638536036,12.697893521953509,12.770245552062988,12.670761108398438,12.91495132446289
2022-02-22,12.607451438903809,12.806421508244034,12.57127514107022,12.57127514107022,202800,1601.5,1587.5,1583.0,1581.75,5.1375,5.1358,5.25,5.2626,1,1,0,0,12.77024726148642,12.688850205801248,12.788333790582728,13.086790565254727,12.933040899262895,12.905906974169634,12.761202969947645,12.688850205801248,12.580319431156362,12.842599868774414,12.761202812194824,12.607451438903809
2022-02-23,12.8335542678833,13.014436630159748,12.607452177548767,12.607452177548767,342100,1635.0,1592.0,1570.0,1569.0,5.1027,5.1706,5.214,5.2584,1,1,0,0,12.842598910619383,12.905907319451645,12.679805398842475,13.023480415344238,12.905907319451645,12.93303949369848,12.535099921331604,12.725024962933436,12.571275638536036,13.023480415344238,12.770245552062988,12.670761108398438
2022-02-24,13.258626937866213,13.294803239179869,12.471791737410843,12.661717534935317,486200,1675.0,1601.5,1551.25,1594.75,5.0571,5.1375,5.1579,5.2345,1,1,0,0,12.57127514107022,12.77024726148642,12.688850205801248,12.806421508244034,13.086790565254727,12.933040899262895,12.57127514107022,12.761202969947645,12.688850205801248,12.607451438903809,12.842599868774414,12.761202812194824
2022-02-25,13.095831871032717,13.448551421257992,12.90590695457792,13.204361626879702,354300,1661.5,1635.0,1587.5,1574.25,5.0087,5.1027,5.1358,5.2487,1,1,0,0,12.607452177548767,12.842598910619383,12.905907319451645,13.014436630159748,13.023480415344238,12.905907319451645,12.607452177548767,12.535099921331604,12.725024962933436,12.8335542678833,13.023480415344238,12.770245552062988
2022-03-02,14.289652824401855,14.289652824401855,13.113921737502835,13.113921737502835,432100,1705.5,1590.25,1635.0,1551.25,5.1584,5.1222,5.1027,5.1579,0,0,0,0,12.661717534935317,12.57127514107022,12.77024726148642,13.294803239179869,12.806421508244034,13.086790565254727,12.471791737410843,12.57127514107022,12.761202969947645,13.258626937866213,12.607451438903809,12.842599868774414
