Horizonte,R2,MAE,RMSE,modelo,modelo_nome,dataset,dataset_nome,ticker,tipo,Accuracy,Precision,Recall,F1-Score,AUC-ROC
3 dias,0.939125393468638,0.3633949303529247,0.4872878558994152,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SOJA3,regressao,,,,,
7 dias,0.890993199830618,0.4747917885386679,0.6393676250131975,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SOJA3,regressao,,,,,
15 dias,0.7816344495360323,0.6724065450478632,0.9122096823029888,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SOJA3,regressao,,,,,
30 dias,0.596532891680556,1.0543639609257145,1.315348190103933,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_janelas,Janelas,SOJA3,regressao,,,,,
3 dias,0.9894325519844708,0.4107762732512268,0.6136115377559191,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,AGRO3,regressao,,,,,
7 dias,0.9780271270664452,0.6050336431002672,0.8774646176799944,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,AGRO3,regressao,,,,,
15 dias,0.9540845101577607,0.901449191856398,1.27402346755536,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,AGRO3,regressao,,,,,
30 dias,0.9190122496394286,1.2233590949687432,1.677859797905065,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,AGRO3,regressao,,,,,
3 dias,0.9892619070064416,0.3819904082808414,0.5444059301215447,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SLCE3,regressao,,,,,
7 dias,0.9794614948197886,0.5488762697028609,0.7503976499000758,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SLCE3,regressao,,,,,
15 dias,0.9637928997699264,0.7417077326534111,0.9921109682565878,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SLCE3,regressao,,,,,
30 dias,0.9372120938268246,0.9941720911322492,1.298139916148206,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SLCE3,regressao,,,,,
3 dias,0.956013449622356,0.2958332678065124,0.3823377236946165,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SOJA3,regressao,,,,,
7 dias,0.8489338758382193,0.5445070508999923,0.712154070052142,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SOJA3,regressao,,,,,
15 dias,0.7124920851447154,0.8287372953052072,1.0708250035603546,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SOJA3,regressao,,,,,
30 dias,0.6061008088559001,1.0248064472821938,1.301295500608933,regressao_linear_rede_neural,Rede Neural (Regressão),dataset_indicadores,Indicadores,SOJA3,regressao,,,,,
