Horizonte,R2,MAE,RMSE,modelo,modelo_nome,dataset,dataset_nome,ticker,tipo,Accuracy,Precision,Recall,F1-Score,AUC-ROC
15 dias,,,,random_forest,Random Forest,dataset_indicadores,Indicadores,AGRO3,classificacao,0.8254437869822485,0.825711845870997,0.8254437869822485,0.8243216073878655,0.8985597439544809
30 dias,,,,random_forest,Random Forest,dataset_indicadores,Indicadores,AGRO3,classificacao,0.8579881656804734,0.858782881582247,0.8579881656804734,0.8582636988456521,0.9349025974025972
3 dias,,,,random_forest,Random Forest,dataset_base,Base,SOJA3,classificacao,0.5674157303370787,0.5660024761148357,0.5674157303370787,0.5645293493276112,0.5659076533839341
7 dias,,,,random_forest,Random Forest,dataset_base,Base,SOJA3,classificacao,0.550561797752809,0.5504737505822475,0.550561797752809,0.5504482602506624,0.5861111111111111
15 dias,,,,random_forest,Random Forest,dataset_base,Base,SOJA3,classificacao,0.5898876404494382,0.5889561774393235,0.5898876404494382,0.5871512013105924,0.6461100569259961
30 dias,,,,random_forest,Random Forest,dataset_base,Base,SOJA3,classificacao,0.6910112359550562,0.690598754899567,0.6910112359550562,0.6907831267728051,0.756025641025641
3 dias,,,,random_forest,Random Forest,dataset_base,Base,SLCE3,classificacao,0.5321637426900585,0.5322641418868649,0.5321637426900585,0.5321957457175449,0.5536569512862617
7 dias,,,,random_forest,Random Forest,dataset_base,Base,SLCE3,classificacao,0.6432748538011696,0.6464850707491209,0.6432748538011696,0.6434700722688367,0.7145259256717339
15 dias,,,,random_forest,Random Forest,dataset_base,Base,SLCE3,classificacao,0.6432748538011696,0.6439402822097915,0.6432748538011696,0.6435196807777309,0.7246623363233322
30 dias,,,,random_forest,Random Forest,dataset_base,Base,SLCE3,classificacao,0.6812865497076024,0.6803311687568563,0.6812865497076024,0.6806626489749025,0.7581394542491592
3 dias,,,,random_forest,Random Forest,dataset_base,Base,AGRO3,classificacao,0.5467836257309941,0.5480012153878673,0.5467836257309941,0.5468262492967112,0.6170176339667864
7 dias,,,,random_forest,Random Forest,dataset_base,Base,AGRO3,classificacao,0.6023391812865497,0.5985910591670274,0.6023391812865497,0.5974664360431595,0.6326678640508429
15 dias,,,,random_forest,Random Forest,dataset_base,Base,AGRO3,classificacao,0.6228070175438597,0.6187553830852591,0.6228070175438597,0.6192318709956891,0.6614655893006409
