Date,Close,High,Low,Open,Volume,agro_soja_close_lag_1d,agro_soja_close_lag_3d,agro_soja_close_lag_6d,agro_soja_close_lag_10d,agro_cambio_close_lag_1d,agro_cambio_close_lag_3d,agro_cambio_close_lag_6d,agro_cambio_close_lag_10d,Close_3d_fut,Close_7d_fut,Close_15d_fut,Close_30d_fut,OBV,FWMA,TEMA,HLC3,BB_upper,BB_middle,BB_lower
2023-06-05,9.689911842346191,9.982437193368344,9.66248693684213,9.75390154493371,441200,1352.5,1299.75,1324.0,1307.25,5.0131,5.0348,5.0352,4.9968,10.009861946105955,10.046426773071287,9.45223331451416,10.393800735473633,-1697600,9.825308662399074,9.741053026128341,9.77827865751889,11.243060150481416,10.403399991989136,9.563739833496857
2023-06-06,9.781326293945312,9.891023308600689,9.644205243574689,9.753902258230063,518800,1350.0,1329.5,1337.25,1341.25,4.9566,5.0548,4.9928,4.9661,10.028143882751465,10.00071907043457,9.589354515075684,10.631478309631348,-1178800,9.80808284945227,9.69619037669854,9.772184948706895,11.262753250012171,10.380089330673218,9.497425411334266
2023-06-07,9.955013275146484,10.037285377230166,9.790467327390472,9.927588369324267,416500,1353.25,1352.5,1296.5,1322.5,4.9256,5.0131,5.0181,4.9712,9.982436180114746,9.81789207458496,9.881880760192873,10.832590103149414,-762300,9.863979085221978,9.729491511617612,9.927588659922373,11.261987031065544,10.359064102172852,9.456141173280159
2023-06-09,10.009861946105955,10.073852525084355,9.945872238921934,10.055569253434992,301000,1363.25,1353.25,1329.5,1324.0,4.9224,4.9256,5.0548,5.0352,9.936729431152344,9.827033042907717,10.274962425231934,10.668044090270996,-461300,9.919346892567724,9.779551685839854,10.009862236704082,11.25070124608153,10.336210584640503,9.421719923199475
2023-06-12,10.028143882751465,10.092133581416812,9.973294946899552,10.05556791478029,211400,1386.5,1360.75,1352.5,1337.25,4.9221,4.912,5.0131,4.9928,10.046426773071287,9.772184371948242,10.585770606994627,10.421224594116213,-249900,9.960705507599558,9.828536835432262,10.031190803689276,11.199821935411535,10.299187803268433,9.398553671125331
2023-06-13,9.982436180114746,10.128698840779627,9.891021581302082,10.119557206539518,155100,1372.75,1363.25,1350.0,1296.5,4.8779,4.9224,4.9566,5.0181,10.00071907043457,9.80875015258789,10.284104347229004,10.613195419311523,-405000,9.968631992959105,9.853468623622899,10.000718867398819,11.094147115600766,10.247995758056641,9.401844400512516
2023-06-14,9.936729431152344,10.06470970222068,9.872739731515312,9.982436733090626,255900,1399.25,1386.5,1353.25,1299.75,4.8606,4.9221,4.9256,5.0348,9.81789207458496,9.781326293945312,10.512639045715332,10.40294361114502,-660900,9.956189903236064,9.859616042149806,9.958059621629445,10.93944932246477,10.189033555984498,9.438617789504226
2023-06-15,10.046426773071287,10.101275711614203,9.927588132723557,9.964153801154067,453300,1388.25,1372.75,1360.75,1329.5,4.861,4.8779,4.912,5.0548,9.827033042907717,9.59849739074707,10.503499031066896,10.622337341308594,-207600,9.990558347643994,9.905440374025089,10.025096872469682,10.858016324744261,10.153839015960694,9.449661707177127
2023-06-16,10.00071907043457,10.082992039068102,9.909305338903964,10.06470964147969,191800,1428.25,1399.25,1363.25,1352.5,4.815,4.8606,4.9224,5.0131,9.772184371948242,9.45223331451416,10.594913482666016,10.805164337158203,-399400,9.994414970792572,9.926288735820183,9.997672149468878,10.779982944241517,10.119558620452882,9.459134296664246
2023-06-20,9.81789207458496,9.81789207458496,9.717336694648845,9.808750438646843,258300,1466.5,1388.25,1386.5,1350.0,4.807,4.815,4.8779,4.9256,9.80875015258789,9.589354515075684,10.677186012268066,10.69546890258789,-657700,9.926800396089378,9.87996125004168,9.784373614606254,10.666897515509055,10.071566104888914,9.476234694268774
2023-06-21,9.827033042907717,9.87274034769871,9.67162872969493,9.863598712381645,246700,1477.25,1428.25,1372.75,1353.25,4.7769,4.8092,4.8606,4.912,9.781326293945312,9.881880760192873,10.52178192138672,10.768599510192873,-411000,9.88857525018843,9.85012871289149,9.790467373433785,10.554567244844701,10.028144311904907,9.501721378965112
2023-06-22,9.772184371948242,9.827033313566968,9.6442049611618,9.827033313566968,182900,1514.75,1466.5,1399.25,1360.75,4.7893,4.807,4.861,4.9224,9.59849739074707,10.274962425231934,10.329811096191406,10.914862632751465,-593900,9.844054857567405,9.810538100659706,9.747807548892338,10.362517393183397,9.976038217544556,9.589559041905714
