Date,Close,High,Low,Open,Volume,target_3d,target_7d,target_15d,target_30d,OBV,FWMA,TEMA,HLC3,BB_upper,BB_middle,BB_lower
2023-03-13,11.120698928833008,11.768949870200984,11.120698928833008,11.768949870200984,147000,0,0,0,0,-2216300,11.47458490348491,11.601395977700761,11.336782575955667,12.007444865134818,11.181870794296264,10.35629672345771
2023-03-14,10.801137924194336,11.202871354940347,10.801137924194336,11.111568065025518,97900,1,0,0,0,-2314200,11.217168090309624,11.346216178458574,10.93504906777634,11.931278201872402,11.210174703598023,10.489071205323643
2023-03-15,10.655052185058594,10.883309514008891,10.563748905185433,10.801136736269568,126900,0,0,0,0,-2441100,11.002309509029736,11.101098471139975,10.700703534750971,11.903170884145199,11.21976146697998,10.536352049814761
2023-03-16,11.084177017211914,11.10243715208125,10.572880179880398,10.737225747367791,130900,0,1,0,0,-2310200,11.03360825087913,11.06705553165191,10.919831449724521,11.893632864772178,11.233000373840332,10.572367882908486
2023-03-17,10.855920791625977,11.120699305044525,10.645923559200089,11.120699305044525,66400,0,1,0,0,-2376600,10.965770514451465,10.963511218931387,10.874181218623528,11.89896277014115,11.217478942871093,10.535995115601036
2023-03-20,10.408534049987791,10.819397946506031,10.19853772130747,10.819397946506031,173400,0,1,1,0,-2550000,10.752689632392556,10.731924315979867,10.475489905933765,11.950439082942797,11.178675174713135,10.406911266483473
2023-03-21,10.308101654052734,10.463316718140929,10.280711016487956,10.4085345722787,44800,1,1,1,0,-2594800,10.582658713536137,10.526833517570038,10.350709796227207,11.990008304557966,11.128915071487427,10.267821838416888
2023-03-22,10.317232131958008,10.38114390969938,10.052453647516048,10.3537532722006,110700,1,1,1,0,-2484100,10.480734684888054,10.381799350318664,10.250276563057811,12.019146770998761,11.085546207427978,10.151945643857195
2023-03-23,10.189408302307127,10.27158109034714,9.97028144802224,10.262450587068756,170000,1,1,1,1,-2654100,10.369143372858755,10.235395911485876,10.14375694689217,12.059708820786614,11.043546915054321,10.027385009322028
2023-03-24,10.527227401733398,10.554618907183505,9.924628213552309,10.235058309459555,201500,1,0,1,0,-2452600,10.429063808603654,10.251421579563004,10.335491507489737,12.065004407213959,11.023916673660278,9.982828940106597
2023-03-27,11.43112850189209,11.513300416447448,10.782877593292998,11.266782931315994,616300,1,0,0,0,-1836300,10.81181427818283,10.58705670365864,11.24243550387751,12.105827236351457,11.052220582962036,9.998613929572615
2023-03-28,11.686776161193848,11.732427804039784,11.275913117045748,11.431128180282334,215400,0,0,0,0,-1620900,11.145912688837573,10.934095565829363,11.56503902742646,12.178377859681717,11.088741779327393,9.999105698973068
2023-03-29,11.705037117004396,11.705037117004396,11.412867975466911,11.686776981024664,204800,0,0,0,0,-1416100,11.359613580104062,11.203044283801779,11.607647403158568,12.238365859934799,11.114763164520264,9.99116046910573
2023-03-30,12.015466690063477,12.216333400621194,11.595473133842445,11.641124777705471,259000,0,0,0,0,-1157100,11.610048406264362,11.512145219251579,11.942424408175706,12.329899957675254,11.143523645401,9.957147333126747
2023-03-31,10.901570320129396,12.01546639793514,10.901570320129396,12.01546639793514,763700,0,0,0,0,-1920800,11.339334030422187,11.351498874489902,11.272869012731311,12.314196379276774,11.1248064994812,9.935416619685627
2023-04-03,10.591140747070312,11.047655419431402,10.51809846915115,10.95635213666613,848700,0,0,0,1,-2769500,11.053368795716013,11.118116731070753,10.718964878550954,12.262488386636967,11.073676919937133,9.8848654532373
2023-04-04,10.481575965881348,10.655052020819848,10.408533691401749,10.591140248333344,503000,0,0,0,1,-3272500,10.835000586558063,10.902502465826275,10.515053892700982,12.201084536224425,11.015699481964111,9.830314427703797
2023-04-05,10.499836921691896,10.600269830957387,9.85158608561031,10.518097925594308,538200,1,1,0,1,-2734300,10.706750365831791,10.747225815373145,10.31723094608653,12.11036650419331,10.954069900512696,9.797773296832082
2023-04-06,10.417664527893066,10.518098311576768,10.253318969670737,10.399404394053152,117100,1,1,0,1,-2851400,10.596075648951967,10.604017997552447,10.396360603046856,12.016500520626474,10.890614318847657,9.76472811706884
2023-04-10,10.27157974243164,10.591140349378112,10.27157974243164,10.454185430372794,152100,1,1,0,0,-3003500,10.472038818421277,10.44888289371612,10.378099944747131,11.88280691879726,10.813463354110718,9.744119789424177
2023-04-11,10.591140747070312,10.655052522566422,10.34462240604366,10.34462240604366,231800,0,0,0,0,-2771700,10.517662764079189,10.448530699617526,10.530271891893465,11.850506551306717,10.786985445022584,9.72346433873845
2023-04-12,10.454185485839844,10.682442814660506,10.454185485839844,10.591140405571808,229500,1,0,0,0,-3001200,10.493438612375007,10.405478812621862,10.530271262113397,11.843455719273038,10.769637823104858,9.695819926936679
2023-04-13,10.572879791259766,10.673312706181251,10.44505536894208,10.490707010536442,162900,1,0,0,0,-2838300,10.523931652247057,10.419414618731551,10.563749288794366,11.841819067683682,10.765529203414918,9.689239339146154
2023-04-14,10.463316917419434,10.645922622550213,10.408534770513858,10.59114134637732,89500,1,0,0,0,-2927800,10.500883980648513,10.396231349241544,10.505924770161167,11.807889234033345,10.734486198425293,9.66108316281724
2023-04-17,10.536358833312988,10.618531615449347,10.44505554855422,10.499837693556012,312100,0,0,0,0,-2615700,10.514227562453636,10.40858237979477,10.533315332438852,11.79381211775757,10.718508100509643,9.643204083261717
2023-04-18,10.591140747070312,10.664183024989477,10.426795186385878,10.58201024464726,292700,0,0,1,0,-2323000,10.54305380304735,10.440943511533916,10.56070631948189,11.794931640834061,10.727638435363769,9.660345229893476
2023-04-19,10.545489311218262,10.609401087960006,10.481576663743866,10.49983766894588,221000,0,0,1,0,-2544000,10.543748353606063,10.45272102626592,10.545489020974044,11.792338067264565,10.739507818222046,9.686677569179528
2023-04-20,10.481575965881348,10.67331215407345,10.426794695387944,10.545488609100444,161200,0,0,1,0,-2705200,10.519181293116137,10.442154559500427,10.527227605114247,11.789182129193604,10.747725009918213,9.706267890642822
2023-04-24,10.39027500152588,10.591141719614726,10.39027500152588,10.518099434988368,129400,0,0,1,0,-2834600,10.469678164012052,10.404984875138352,10.45723057422216,11.780256745491146,10.75776834487915,9.735279944267154
2023-04-25,10.098105430603027,10.51809898458614,10.098105430603027,10.51809898458614,55200,0,1,1,0,-2889800,10.327547680775485,10.277721651071403,10.238103281930732,11.796485098692347,10.736312246322631,9.676139393952916
2023-04-26,10.134626388549805,10.244189808821416,10.061584108368727,10.098105248459268,249200,0,1,1,0,-2640600,10.253699773707206,10.198097053857413,10.146800101913316,11.711127880347384,10.671487140655518,9.631846400963653
2023-04-27,10.171147346496582,10.22592862028504,9.979411146771684,10.22592862028504,118400,0,1,1,0,-2522200,10.222086315464537,10.15497680299004,10.12549570451777,11.540355197762917,10.595705699920654,9.65105620207839
2023-04-28,10.019002914428713,10.256680199269274,10.019002914428713,10.183548861132843,140100,1,1,1,0,-2662300,10.14425457708734,10.073676623850039,10.098228676042233,11.332001595350057,10.51140398979187,9.690806384233682
2023-05-02,9.945871353149414,10.046426722882396,9.845315983416432,10.019002689645092,879800,1,1,1,0,-3542100,10.068468263134754,9.991529040922892,9.945871353149414,10.876296175342045,10.407924222946168,9.93955227055029
2023-05-03,9.991579055786133,10.11041770029034,9.763043402153654,9.936730115324831,150300,1,1,1,1,-3391800,10.03880380858756,9.950639020313018,9.95501338607671,10.80497016292663,10.362424659729005,9.91987915653138
2023-05-04,10.05556869506836,10.338953287337064,9.900164381855577,10.0007197549603,210000,1,1,1,0,-3181800,10.045102062380096,9.947292268644086,10.098228788087,10.7846868229953,10.335646057128907,9.886605291262514
2023-05-05,10.284104347229004,10.3480940508598,9.96415408548637,9.96415408548637,194200,1,1,0,0,-2987600,10.13624744337906,10.029346152400755,10.198784161191725,10.769960654024029,10.325772476196288,9.881584298368548
2023-05-08,10.247539520263672,10.39380221018448,10.183549811371918,10.284105192743874,213800,1,1,1,0,-3201400,10.178685421392352,10.082184601252692,10.274963847273357,10.75081384410385,10.313157606124879,9.875501368145907
2023-05-09,10.375517845153809,10.4760732074848,10.201830279916186,10.247537579809991,106400,1,1,0,0,-3095000,10.253815590005376,10.169484153665548,10.351140444184932,10.746990261368405,10.311050271987915,9.875110282607425
