Date,Close,High,Low,Open,Volume,Close_3d_fut,Close_7d_fut,Close_15d_fut,Close_30d_fut,dummy_period,period_1,period_2
2023-11-06,17.888134002685547,18.027232662575265,17.572842763609966,17.87422289858178,1943600,17.577478408813477,18.412071228027344,17.494016647338867,17.498655319213867,2,0.0,1.0
2023-11-07,17.623842239379883,17.98550083632521,17.47083426157377,17.855673902332047,3926800,17.38737678527832,18.0457763671875,17.433740615844727,17.146270751953125,2,0.0,1.0
2023-11-08,17.823217391967773,17.823217391967773,17.438377755939232,17.628479646474215,3535600,17.44301414489746,17.80003547668457,17.470834732055664,17.26682472229004,2,0.0,1.0
2023-11-09,17.577478408813477,18.24515302953564,17.44765323030135,18.004049631937523,4137000,17.943771362304688,17.517200469970703,17.50792694091797,17.545021057128906,2,0.0,1.0
2023-11-10,17.38737678527832,17.86958712595321,17.239004644876115,17.38737678527832,2860200,18.412071228027344,17.563568115234375,17.637754440307617,17.563568115234375,2,0.0,1.0
2023-11-13,17.44301414489746,17.55429412339707,17.252912248542703,17.276095061515672,1247600,18.0457763671875,17.26218605041504,17.438379287719727,17.609933853149414,2,0.0,1.0
2023-11-14,17.943771362304688,18.068960674612622,17.438378257980915,17.45228759199227,3760800,17.80003547668457,16.691879272460938,17.38737678527832,17.50254249572754,2,0.0,1.0
2023-11-16,18.412071228027344,18.45843862432903,17.762943598421558,17.9066781051185,3672800,17.517200469970703,16.932987213134766,17.851037979125977,17.065444946289062,2,0.0,1.0
2023-11-17,18.0457763671875,18.541897768866736,18.03650465686253,18.463074081222267,3467000,17.563568115234375,17.494016647338867,17.934497833251953,17.186344146728516,2,0.0,1.0
2023-11-20,17.80003547668457,18.106053212691872,17.679483785599693,18.04114062758961,4864800,17.26218605041504,17.433740615844727,18.08287048339844,16.97244644165039,2,0.0,1.0
2023-11-21,17.517200469970703,17.9576809979943,17.438378550935205,17.76294324362287,8993400,16.691879272460938,17.470834732055664,18.013320922851562,17.22354507446289,2,0.0,1.0
2023-11-22,17.563568115234375,17.874221709361606,17.53111182237736,17.619207221741355,2436000,16.932987213134766,17.50792694091797,17.864948272705078,17.074745178222656,2,0.0,1.0
2023-11-23,17.26218605041504,17.600660078611185,17.215820423601706,17.58675074431424,2551600,17.494016647338867,17.637754440307617,17.211181640625,16.544647216796875,2,0.0,1.0
2023-11-24,16.691879272460938,17.262184935355133,16.654785358418142,17.22509279004751,8629200,17.433740615844727,17.438379287719727,17.535749435424805,16.34004783630371,2,0.0,1.0
2023-11-27,16.932987213134766,16.96080765327639,16.696517893769627,16.817071365647863,1678800,17.470834732055664,17.38737678527832,17.285369873046875,16.395845413208008,2,0.0,1.0
2023-11-28,17.494016647338867,17.693392014112593,16.92371098263792,16.97471423024076,5028600,17.50792694091797,17.851037979125977,17.498655319213867,16.433046340942383,2,0.0,1.0
2023-11-29,17.433740615844727,17.707302053103973,17.38737499003207,17.5172001572957,4477400,17.637754440307617,17.934497833251953,17.146270751953125,16.5074462890625,2,0.0,1.0
2023-11-30,17.470834732055664,17.600659900809738,17.183363957499385,17.410558002819016,3319000,17.438379287719727,18.08287048339844,17.26682472229004,16.83294677734375,2,0.0,1.0
2023-12-01,17.50792694091797,17.670210171166193,17.37810177170761,17.4708347934587,4438200,17.38737678527832,18.013320922851562,17.545021057128906,17.48394203186035,2,0.0,1.0
2023-12-04,17.637754440307617,17.818582865673957,17.470835349589354,17.470835349589354,2594000,17.851037979125977,17.864948272705078,17.563568115234375,17.855941772460938,2,0.0,1.0
2023-12-05,17.438379287719727,17.67021096818665,16.830979648151658,17.637754674420112,7631600,17.934497833251953,17.211181640625,17.609933853149414,17.595542907714844,2,0.0,1.0
2023-12-06,17.38737678527832,17.60993499588163,17.27609679560895,17.489383295080625,2590800,18.08287048339844,17.535749435424805,17.50254249572754,17.50254249572754,2,0.0,1.0
2023-12-07,17.851037979125977,17.920588185240035,17.40128398872156,17.517199819754847,3082600,18.013320922851562,17.285369873046875,17.065444946289062,17.753643035888672,2,0.0,1.0
2023-12-08,17.934497833251953,18.221968604006264,17.804672666214895,17.91595087546516,6273200,17.864948272705078,17.498655319213867,17.186344146728516,17.781543731689453,2,0.0,1.0
2023-12-11,18.08287048339844,18.490894722885105,17.897404437613055,17.939134209478,5538400,17.211181640625,17.146270751953125,16.97244644165039,17.995441436767578,2,0.0,1.0
2023-12-12,18.013320922851562,18.314702815924207,17.985502253096485,18.082871134709976,2087200,17.535749435424805,17.26682472229004,17.22354507446289,17.948942184448242,2,0.0,1.0
2023-12-13,17.864948272705078,18.004048692406798,17.642390077411758,17.95768129626112,4085400,17.285369873046875,17.545021057128906,17.074745178222656,17.623443603515625,2,0.0,1.0
2023-12-14,17.211181640625,18.333247775044214,17.18336297390451,18.268335194382843,4918200,17.498655319213867,17.563568115234375,16.544647216796875,17.679243087768555,2,0.0,1.0
2023-12-15,17.535749435424805,17.628482468055687,17.072086041005882,17.2204581857211,8888700,17.146270751953125,17.609933853149414,16.34004783630371,17.762943267822266,2,0.0,1.0
2023-12-18,17.285369873046875,17.71194109332358,17.164818175052492,17.58211414694264,4411600,17.26682472229004,17.50254249572754,16.395845413208008,17.874540328979492,2,0.0,1.0
2023-12-19,17.498655319213867,17.526473987765367,17.146270188522386,17.285368837485745,3710100,17.545021057128906,17.065444946289062,16.433046340942383,17.781543731689453,2,0.0,1.0
2023-12-20,17.146270751953125,17.48010893542342,17.090631644286525,17.46156197662277,2887900,17.563568115234375,17.186344146728516,16.5074462890625,17.762943267822266,2,0.0,1.0
2023-12-21,17.26682472229004,17.303916872244834,17.05353822729224,17.276096433227192,1738900,17.609933853149414,16.97244644165039,16.83294677734375,18.014041900634766,2,0.0,1.0
2023-12-22,17.545021057128906,17.563568015437617,17.174090734631154,17.29464242616719,2598400,17.50254249572754,17.22354507446289,17.48394203186035,18.172142028808597,2,0.0,1.0
2023-12-26,17.563568115234375,17.684119807455385,17.41519598539222,17.554294636027326,1852500,17.065444946289062,17.074745178222656,17.855941772460938,17.762943267822266,2,0.0,1.0
2023-12-27,17.609933853149414,17.66557296000589,17.498655639436468,17.609933853149414,1128800,17.186344146728516,16.544647216796875,17.595542907714844,17.855941772460938,2,0.0,1.0
2023-12-28,17.50254249572754,17.716441370715106,17.474643722189946,17.614142911363206,1401700,16.97244644165039,16.34004783630371,17.50254249572754,17.270044326782227,2,0.0,1.0
2024-01-02,17.065444946289062,17.651342263497163,17.009645624133164,17.530443436521306,3022800,17.22354507446289,16.395845413208008,17.753643035888672,17.409542083740234,2,0.0,1.0
2024-01-03,17.186344146728516,17.242145243925453,16.94454471369397,17.08404568285781,1750700,17.074745178222656,16.433046340942383,17.781543731689453,18.13494110107422,2,0.0,1.0
2024-01-04,16.97244644165039,17.18634534094958,16.85154760364652,17.18634534094958,1699500,16.544647216796875,16.5074462890625,17.995441436767578,17.837343215942383,2,0.0,1.0
2024-01-05,17.22354507446289,17.335143722471468,16.91664613169651,16.9724454557008,1683600,16.34004783630371,16.83294677734375,17.948942184448242,18.59993934631348,2,0.0,1.0
2024-01-08,17.074745178222656,17.260743510555173,16.981745125142158,17.22354455362006,1749600,16.395845413208008,17.48394203186035,17.623443603515625,18.293041229248047,2,0.0,1.0
2024-01-09,16.544647216796875,17.167743493954738,16.516746668664897,17.0747452145051,3726900,16.433046340942383,17.855941772460938,17.679243087768555,18.218639373779297,2,0.0,1.0
